,2015,2016,2017,2018,2019,2020
Jan.,200,128,322,285,348,259
Feb,177,102,250,254,325,64
Mar,181,115,303,258,421,276
Apr,246,128,346,350,372,287
May,254,136,437,530,443,268
Jun,282,144,425,548,483,332
Jul,351,185,521,597,531,487
Aug,357,173,517,614,486,551
Sep,372,162,591,565,567,501
Oct,340,170,524,532,545,571
Nov,273,118,451,435,489,377
Dec,201,113,362,293,487,197
